scenario,accuracy,precision,recall,f1_score,samples
Baseline,0.9207606973058637,0.9317073170731708,0.9080824088748018,0.9197431781701445,1262
Uppercase formatting,0.9207606973058637,0.9317073170731708,0.9080824088748018,0.9197431781701445,1262
Punctuation noise,0.9207606973058637,0.9317073170731708,0.9080824088748018,0.9197431781701445,1262
URL appended,0.9183835182250396,0.9342105263157895,0.9001584786053882,0.9168684422921711,1262
Short context (30 tokens),0.786053882725832,0.9839142091152815,0.5816164817749604,0.7310756972111554,1262
